code,name,mktcap_raw,market_cap_yuan
600363,联创光电,1740429.417,17404294170.0
688275,万润新能,1737534.064751,17375340647.51
688332,中科蓝讯,1737376.260624,17373762606.24
600072,中船科技,1734751.063604,17347510636.04
300184,力源信息,1733454.375732,17334543757.32
002913,奥士康,1732788.35184,17327883518.399998
605020,永和股份,1731164.652247,17311646522.47
002312,川发龙蟒,1731029.376748,17310293767.48
603052,可川科技,1726400.227016,17264002270.16
600629,华建集团,1726232.474361,17262324743.61
603360,百傲化学,1726010.610376,17260106103.76
688088,虹软科技,1724230.3792,17242303792.0
600338,西藏珠峰,1720543.536176,17205435361.760002
600635,大众公用,1715364.546175,17153645461.75
600361,创新新材,1713292.277067,17132922770.67
002158,汉钟精机,1712721.417217,17127214172.17
688677,海泰新光,1711004.421,17110044210.0
603358,华达科技,1709864.79664,17098647966.400002
300888,稳健医疗,1709720.316288,17097203162.88
600490,鹏欣资源,1706135.937909,17061359379.09
600773,西藏城投,1705243.66208,17052436620.8
300693,盛弘股份,1703798.847881,17037988478.81
002901,大博医疗,1702862.228178,17028622281.78
002838,道恩股份,1701663.115914,17016631159.14
000697,炼石航空,1699039.4611,16990394611.0
002703,浙江世宝,1697913.240576,16979132405.76
301196,唯科科技,1697499.881402,16974998814.02
600120,浙江东方,1697444.601524,16974446015.24
002320,海峡股份,1696970.672133,16969706721.330002
600596,新安股份,1696443.490593,16964434905.93
002145,钛能化学,1693969.121435,16939691214.35
300077,国民技术,1693282.3699,16932823699.0
688567,孚能科技,1692613.880725,16926138807.25
002896,中大力德,1692256.71137,16922567113.699999
002310,东方新能,1691808.836994,16918088369.94
000534,万泽股份,1691701.07312,16917010731.2
000592,平潭发展,1690308.2805,16903082805.000002
603693,江苏新能,1688455.31672,16884553167.2
601992,金隅集团,1687087.839172,16870878391.720001
301238,瑞泰新材,1686666.59,16866665900.0
603871,嘉友国际,1684018.657998,16840186579.98
603733,仙鹤股份,1683675.852768,16836758527.68
600459,贵研铂业,1683603.753355,16836037533.55
002183,怡 亚 通,1682861.890968,16828618909.68
000902,新洋丰,1682598.328866,16825983288.66
688559,海目星,1681788.390672,16817883906.72
001213,中铁特货,1679999.999832,16799999998.32
603132,金徽股份,1679226.0,16792260000.0
301531,春光集团,1678323.25092,16783232509.2
605099,共创草坪,1676576.27613,16765762761.3
688757,胜科纳米,1675759.22433,16757592243.300001
688690,纳微科技,1674619.830455,16746198304.550001
000778,新兴铸管,1672462.92427,16724629242.7
600739,辽宁成大,1668913.409256,16689134092.560001
600763,通策医疗,1668388.40641,16683884064.1
