code,name,market_cap
002202,金风科技,100948548663.3
002203,海亮股份,45491342188.9
002204,大连重工,11781357195.2
002208,合肥城建,14234332361.679998
002216,三全食品,11614021274.08
002217,合力泰,20119583116.32
002222,福晶科技,47970202500.0
002223,鱼跃医疗,26886431235.78
002226,江南化工,13721420388.9
002230,科大讯飞,116068497917.12
002236,大华股份,55446684775.04
002237,恒邦股份,19290300803.920002
002240,盛新锂能,42890670841.920006
002241,歌尔股份,101398960642.56
002243,力合科创,11319149447.65
002244,滨江集团,31363354411.2
002245,蔚蓝锂芯,37414383504.54
002246,北化股份,11760325287.48
002249,大洋电机,21797262831.760002
002250,联化科技,13093155307.35
002251,步步高,12233583584.95
002252,上海莱士,34384761455.66
002254,泰和新材,12375905722.52
002261,拓维信息,37912442355.66
002262,恩华药业,20630625500.73
002265,建设工业,21373606020.829998
002266,浙富控股,27870909286.679996
002268,电科网安,12177159595.2
002270,华明装备,20496675606.97
002271,东方雨虹,32032465203.06
002272,川润股份,10264852441.0
002273,水晶光电,58573429148.52
002276,万马股份,12234012896.6
002277,友阿股份,10107752800.0
002281,光迅科技,165949335701.44
002283,天润工业,13297465267.26
002287,奇正藏药,11894337440.37
002290,禾盛新材,23238200827.8
002292,奥飞娱乐,11016312742.65
002294,信立泰,36343019041.0
002297,博云新材,12218594741.08
002299,圣农发展,20797259092.329998
002304,洋河股份,66509550017.100006
002309,中利集团,10827595386.0
002310,东方新能,17278047696.96
002311,海大集团,77217778855.62
002312,川发龙蟒,17178154120.400002
002315,焦点科技,10899907204.470001
002317,众生药业,19250925304.05
002318,久立特材,23481412401.600002
002320,海峡股份,16813200862.24
002324,普利特,14182287162.0
002326,永太科技,19612705883.2
002335,科华数据,30615594035.399998
002338,奥普光电,14162400000.0
002340,格林美,40461712111.729996
002342,巨力索具,11164800000.0
002348,高乐股份,13857536000.0
002352,顺丰控股,178043076349.97
002353,杰瑞股份,149175794868.1
002354,天娱数科,11813742754.800001
002361,神剑股份,15064393908.96
002364,中恒电气,32872744116.8
002366,融发核电,14837085373.199999
002371,北方华创,476773149826.32
002372,伟星新材,14965157087.2
002373,千方科技,13036552773.75
002378,章源钨业,33591637941.359997
002379,宏桥控股,277302195338.56
002380,科远智慧,10413237650.11
002384,东山精密,391194736684.56006
002385,大北农,14319261621.449999
002387,维信诺,11705150840.34
002389,航天彩虹,19264957370.760002
002392,北京利尔,10178696673.449999
002396,星网锐捷,18116405141.04
002399,海普瑞,14364829837.160002
002400,省广集团,13824663425.04
002402,和而泰,26546365162.35
002405,四维图新,21596610695.54
002407,多氟多,40962784699.29
002408,齐翔腾达,14583834899.91
002409,雅克科技,53589456542.8
002410,广联达,15693471249.0
002413,雷科防务,14182912793.75
002414,高德红外,56074765098.04
002415,海康威视,282919584748.5
002416,爱施德,13817992136.9
002421,达实智能,10115174418.03
002422,科伦药业,56520456320.240005
002423,中粮资本,20644785952.0
002426,胜利精密,11875164446.84
002428,云南锗业,55240889600.0
002429,兆驰股份,54187479065.79
002430,杭氧股份,24713342504.94
002432,九安医疗,36577328597.31
002436,兴森科技,61120261325.479996
002439,启明星辰,17419934947.899998
002440,闰土股份,10520639110.8
002444,巨星科技,39178884369.6
002456,欧菲光,31733597542.500004
002458,益生股份,11735782919.8
002459,晶澳科技,30978913455.36
002460,赣锋锂业,150228154046.6
002461,珠江啤酒,21247953408.0
002463,沪电股份,254516321403.62
002465,海格通信,42985363979.35999
002466,天齐锂业,108172604787.93999
002468,申通快递,23972361919.559998
002471,中超控股,10060386000.0
002472,双环传动,34490341685.36
002475,立讯精密,517049775929.4
002484,江海股份,62998308309.87
002487,大金重工,46772537255.659996
002488,金固股份,10272931150.8
002491,通鼎互联,26161983015.0
002493,荣盛石化,113480064005.44
002497,雅化集团,27177424221.600002
002498,汉缆股份,30107503800.0
002500,山西证券,18595016613.46
002506,协鑫集成,21061139137.2
002507,涪陵榨菜,13166216109.480001
002508,老板电器,16328544468.48
002517,恺英网络,33777167529.54
002518,科士达,32284381462.3
002531,天顺风能,21131293018.08
002532,天山铝业,70495670830.45
002534,西子洁能,18114715285.59
002536,飞龙股份,23347802770.56
002539,云图控股,15507173104.08
002541,鸿路钢构,12944744302.28
002544,普天科技,15318817863.9
002545,东方铁塔,27941634384.18
002549,凯美特气,11236822080.16
002552,宝鼎科技,21048204206.75
002555,三七互娱,42519208228.82001
